	RDC_C	RDC_N
pp_181424	11.403427785333333	83.85254021666665
pp_234656	7.252088066333333	0.505578564
pp_84857	0.3020792153333333	4.948526946333334
pp_115073	0.9766777523333333	4.65295888
pp_134548	1.5288073246666667	60.72432095
pp_66244	0.38240921433333336	0.016334462666666667
pp_225435	1.1554324806666667	0.07992335066666667
pp_117813	1.6999607676666666	26.125358538
pp_145485	1.573751961	0.06560902666666667
pp_208851	11.717136495	214.67255423333333
pp_89384	3.3672555429999997	0.3335155636666667
pp_119485	9.154311937	2.626075201
pp_129810	1.404377987	19.004263463333334
pp_145484	0.5513888943333334	0.021815440333333335
pp_119479	11.841862483333333	3.2488094973333332
pp_145483	0.5748960836666667	0.004717206
pp_200597	0.42954293233333335	2.706739001
pp_68797	1.7623831163333334	11.166010187666668
pp_79566	0.194702642	4.626468474
pp_119480	9.298698428333333	2.389939672333333
pp_204314	7.292589047666667	0.451812259
pp_227675	0.887766514	9.224106428666667
pp_134777	0.214534557	9.073300910666667
pp_208269	3.5002166813333333	0.7530343953333334
pp_152930	2.2912838853333333	16.44600296833333
pp_93879	4.328841571	42.47114950733334
pp_192021	4.325782266666667	1.075264615
pp_76478	3.2381322583333336	25.293599053333335
pp_189394	7.861359833	1.633630898
pp_189260	0.24229635266666666	2.7733620046666667
pp_117806	0.023166535333333335	4.3974312116666665
pp_227561	2.8060887693333334	46.512045486666665
pp_80824	0.39290361933333334	3.256288848666667
pp_117812	1.633534652	25.211490228333336
pp_192022	3.750778903	0.842791411
pp_233816	0.5412507369999999	0.009434412333333333
pp_194539	2.3032148743333334	23.750710087666665
pp_141515	0.126250988	12.880601988
pp_119525	2.151883842	0.170325017
pp_178960	1.0625791073333333	0.06026262566666667
pp_222774	1.2939042343333333	0.059444618666666664
pp_170664	2.4366929396666666	0.5891882193333333
pp_189256	6.6126518286666665	51.343868216666664
pp_88401	0.35831873200000003	0.0
pp_108903	0.037303366000000004	1.1612511643333334
pp_214378	0.5268445763333334	0.0
pp_104898	0.6969604629999999	7.752516141333333
pp_91775	0.31082753133333335	0.005426742333333334
pp_210895	0.8924447289999999	0.042211808
pp_111385	0.47294607233333336	0.031141382000000002
pp_183566	0.712136085	5.0349400593333336
pp_145488	0.5967639326666666	0.015679161333333334
pp_162980	1.1735231446666665	46.21010057
pp_155390	2.4270342263333333	13.308306576333333
pp_109070	0.411522101	0.0
pp_57592	0.8177337203333334	4.549099764666667
pp_227670	1.112195886	7.013132212333334
pp_137965	0.816178569	6.553724626
pp_68212	0.013861874333333333	1.0038080686666666
pp_252648	0.2645567283333333	28.52086747166667
pp_87140	1.8716686853333333	7.606603355333333
pp_76474	0.987930795	6.753800601333333
pp_223543	0.5621548243333333	3.941810209333333
pp_227676	0.5827762870000001	6.176861965666667
pp_117037	2.430279735	13.072501106333334
pp_192024	8.843153765666667	2.4532810356666666
pp_76477	0.4824582233333333	3.206995214
pp_108313	0.013842851000000002	12.212360566666666
pp_119528	2.4276435073333333	0.30408191
pp_111650	0.24083112133333334	0.0
pp_58601	0.164180359	1.6522806553333333
pp_64350	1.436496367	0.31751301333333337
pp_119526	3.0579426086666666	0.3856131453333333
pp_246544	0.13941076266666666	18.239204771666667
pp_192027	3.9944972426666667	0.939485561
pp_58602	0.098285132	1.1783597196666666
pp_165977	2.0256758423333334	0.3245757696666667
pp_58604	2.516735392333333	0.073244719
pp_202017	5.7111021939999995	37.22993856666667
pp_58007	11.936166392	167.22465849
pp_57425	0.296415745	0.0
pp_155112	10.822440518666667	57.15433169333333
pp_223763	0.3180841996666667	0.0
pp_195910	1.828455076	20.577747574333333
pp_137573	1.8966717603333334	11.770197257
pp_86541	5.6390107689999995	0.7798031559999999
pp_204315	5.367675944	0.381216873
pp_219416	3.76294104	56.89780371
pp_78519	6.659231637666667	48.00299634666667
pp_215376	8.259742246666667	75.07011003666666
pp_12822	0.0	1.409392429
pp_57589	4.081515678333333	16.669369519
pp_219417	2.1610168643333334	28.500520593333334
pp_247190	0.194730294	0.0
pp_227677	0.49545251700000004	4.48598473
pp_161199	13.320258504	0.261972072
pp_238715	2.5606570863333333	0.7400890573333333
pp_220809	0.18965081966666666	0.0
pp_245715	0.023109465000000003	1.1921579003333334
pp_154499	3.6242776083333332	0.9986781766666667
pp_225438	3.3119343123333334	0.22708971900000002
pp_233817	0.46283036866666666	0.02110590366666667
pp_88402	0.17292991033333333	0.0
pp_76473	0.8561922133333333	7.842590094666667
pp_204313	6.169492832666666	0.4655103896666667
pp_234664	7.3163468510000005	0.606221671
pp_57423	0.37922554599999997	0.005426742333333334
pp_68316	0.069992448	4.480230979
pp_214375	0.35545202833333334	0.0
pp_141318	0.30811548633333335	2.6841744513333334
pp_73640	16.99019319	1.5193784223333333
pp_152932	1.6592865016666667	8.093253124
pp_126010	0.40400157566666667	4.248100807666667
pp_205935	0.8126594443333334	0.010961955333333334
pp_68310	0.078888989	4.222934879333334
pp_143670	0.07052853433333334	1.9197728126666667
pp_209114	0.40285850700000003	0.0
pp_208070	2.466276214	0.133155827
pp_233357	0.5189799653333333	0.053173763666666665
pp_19744	0.20416811866666668	0.0
pp_152928	1.721622893	15.723649965
pp_137258	0.47115277666666666	0.0
pp_128414	10.899242817333333	64.52483475
pp_172239	2.7109379523333335	0.6451679523333333
pp_227673	0.42559323299999996	4.036340825666667
pp_164214	0.11670941766666668	2.90836489
pp_154500	3.3906939956666666	0.9903590536666667
pp_79846	1.3561248903333332	0.22843292766666667
pp_172482	1.0854919053333334	0.171327358
pp_128408	7.318384349666666	50.496268566666664
pp_174727	1.09996939	0.23363622833333336
pp_74782	3.496919131	0.32962286533333335
pp_79565	0.17646339333333333	3.46427783
pp_181094	1.3046132663333334	17.39282709633333
pp_245453	1.9782198583333335	0.13514335833333332
pp_145487	0.2924603163333333	0.0
pp_207939	0.06475215866666667	2.0439045613333335
pp_208859	0.24712852233333332	4.0220085569999995
pp_73522	1.911228066	0.47780255266666666
pp_68320	0.07004432033333334	7.837652156
pp_141308	0.8954255726666667	14.673887107666667
pp_189261	0.21395179566666667	2.6103407676666666
pp_153127	0.455294782	6.046142775666667
pp_72779	3.166054578333333	0.48082951
pp_119482	15.126780346666667	5.135951731666667
pp_148628	2.009583666	110.41028300166667
pp_107644	3.383202889	0.7830169023333333
pp_211623	3.312378692666667	0.28787104533333335
