	RM_C	RM_N
pp_159040	6.186498000333334	5.816200232333333
pp_198202	683.1389895666666	636.0691520333334
pp_211869	10.606354111	11.327044736666668
pp_203995	9.306792371	10.117695411333333
pp_213695	2.1681702813333334	1.8810994163333332
pp_189088	0.48606885766666663	0.42429797766666666
pp_100870	9.549209892333334	10.113329387333334
pp_228247	8.478591611666666	9.272334940333334
pp_234623	4.761787037333334	4.475117872666667
pp_165682	28.199417263333334	26.651377226666668
pp_149766	1.73351178	1.605891684
pp_142529	2.591196763	2.3198719616666668
pp_68447	2.196025816666667	2.3424240966666665
pp_119796	3.865287239	4.131508108666667
pp_239877	1.134909811	0.9564566073333334
pp_108204	1.334873652	1.2246750416666665
pp_201701	1.6931057886666667	1.565951948
pp_173619	2.2488328926666665	2.4905042306666667
pp_179538	49.005479163333334	52.464887213333334
pp_184539	1.2466073656666667	1.0294825606666667
pp_141729	4.125629105333333	3.886929926
pp_150127	0.7679908046666666	1.1106816063333333
pp_70704	2.179018987	1.8831646039999999
pp_185293	2.2639023263333335	2.4437556836666667
pp_226496	7.409076492666666	7.849609635999999
pp_137032	6.755437613	6.3698166123333335
pp_142519	2.524764249	2.350835361
pp_80710	182.3851855	192.76585773333332
pp_225445	2.0268772103333332	1.8762985713333333
pp_74866	9.366224852666667	10.030200479
pp_83482	2.7152163363333335	2.895995752
pp_145084	354.3263947666667	374.4627661
pp_202302	1.2258561513333333	1.3483301533333334
pp_166851	14.519048563333333	13.634744864
pp_214455	3.782542358666667	4.021425238
pp_214276	9.244967747333334	10.043799943
pp_243306	7.296657850333333	7.784144359
pp_58227	2.362912982	2.5353652903333335
pp_143681	4.715702191	4.305411357666667
pp_178125	0.22906714433333333	0.198216947
pp_142166	8.798675988333333	8.313357518333333
pp_64303	63.78134444	59.904974270000004
pp_227079	1.8188434673333334	1.686751301
pp_215627	1.3988441136666667	1.2683603726666666
pp_237305	314.46068073333333	294.67705363333334
pp_241444	8.608952042333334	9.278969025999999
pp_86668	4.286116312666667	4.033279000333334
pp_159199	0.6219813653333334	0.534197068
pp_245749	5.827312743666667	6.337314008666667
pp_212110	22.161874993333335	23.373184396666666
pp_198180	0.9445475766666667	0.814905652
pp_205733	1.4231565276666667	1.6024436423333333
pp_234967	0.4627702356666667	0.40902965199999997
pp_241485	9.678126028666666	9.140329668666666
pp_248556	3.9858517053333333	3.6962108149999997
pp_111976	8.349074597333333	8.896054801666667
pp_87580	1.2903183413333335	1.0930174083333333
pp_96045	4.544310523	4.285435214666666
pp_88734	2.8231017956666666	2.6541174746666667
pp_230489	3.2446459353333332	3.04807132
pp_219372	41.07387897666667	43.674395573333335
pp_56797	3.3355057516666666	3.135195608333333
pp_173182	1.5495774820000001	1.6838415066666668
pp_159845	30.86607033	29.209531813333335
pp_108218	14.25094066	13.345791237666667
pp_114294	2.1491424053333334	2.345649826
pp_116655	0.8031255026666667	0.9467499273333334
pp_234873	3.0462961463333333	2.845477255
pp_200905	62.9094323	66.5256028
pp_238701	131.85400456666667	121.45778333666667
pp_72890	9.281999802	9.91625505
pp_134577	4.652639947666667	5.434209401333334
pp_246277	12.552467721	11.80627872
pp_234984	1.8665924696666667	1.6689099596666668
pp_72851	3.180684253	3.4062066133333335
pp_120429	705.1394286	654.8509269666666
pp_164150	3.810992420333333	3.5484487393333333
pp_158563	4.359313383666667	4.660311784666667
pp_230987	25.14416146	26.634912743333334
pp_225472	1.8095599333333334	1.9487227113333334
pp_135999	9.854897156666667	9.307910987333333
pp_189415	6.2524387353333335	5.807224122
pp_136232	0.047714970333333336	0.06262124566666667
pp_67426	22.326877356666667	23.563471213333333
pp_138580	17.055387826666667	16.06118984
pp_64444	1.2901777163333334	1.4220201713333334
pp_64861	0.6451725073333333	0.5594034933333334
pp_76327	146.7017882	154.8846273
pp_118070	2.079494177	1.882743695
pp_109154	1.2077643223333334	1.323893198
pp_227466	1.078434724	0.9839509096666667
pp_239547	38.74281941	40.93623397666667
pp_134583	12.868894403	14.865956238333334
pp_79287	2.310281483	2.4738562303333334
pp_148458	0.7772938216666667	0.687399835
pp_209499	1.7765513866666667	1.6592149403333334
pp_179506	204.57497983333334	190.4806727666667
pp_86283	1.6291263966666667	1.789555891
pp_192109	8.677328626666666	9.200978989
pp_224319	22.976708286666668	21.69109462666667
pp_154394	3.7469463193333334	3.5133549643333333
pp_165783	15.531891483333334	16.49309093666667
pp_78482	4.151985291333333	3.925258658666667
pp_152843	3.167087914	3.408322981
pp_168577	3.599826343333333	3.3860501323333336
pp_249400	3.8227273033333335	4.061091813333333
pp_116702	25.644472073333333	24.179866253333334
pp_128211	6.339109647666667	6.694551029333334
